id,Churn,genero,tiene +60,posee_pareja,posee_dependientes,tiempo_contrato,servicio_telefono,multiples_lineas,tipo_internet,seguridad_online,backup_online,proteccion_dispositivo,soporte_tecnico,streaming_tv,streaming_peliculas,tipo_contrato,factura_digital,metodo_pago,valor_mensal,total_cobrado
0002-ORFBO,No,Femenino,0,Sí,Sí,9,Sí,No,DSL,No,Sí,No,Sí,Sí,No,Anual,Yes,Cheque enviado por correo,65.6,593.3
0003-MKNFE,No,Masculino,0,No,No,9,Sí,Sí,DSL,No,No,No,No,No,Sí,Mensual,No,Cheque enviado por correo,59.9,542.4
0004-TLHLJ,Sí,Masculino,0,No,No,4,Sí,No,Fiber optic,No,No,Sí,No,No,No,Mensual,Yes,Cheque electrónico,73.9,280.85
0011-IGKFF,Sí,Masculino,1,Sí,No,13,Sí,No,Fiber optic,No,Sí,Sí,No,Sí,Sí,Mensual,Yes,Cheque electrónico,98.0,1237.85
0013-EXCHZ,Sí,Femenino,1,Sí,No,3,Sí,No,Fiber optic,No,No,No,Sí,Sí,No,Mensual,Yes,Cheque enviado por correo,83.9,267.4
0013-MHZWF,No,Femenino,0,No,Sí,9,Sí,No,DSL,No,No,No,Sí,Sí,Sí,Mensual,Yes,Tarjeta de crédito (automático),69.4,571.45
0013-SMEOE,No,Femenino,1,Sí,No,71,Sí,No,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Transferencia bancaria (automática),109.7,7904.25
0014-BMAQU,No,Masculino,0,Sí,No,63,Sí,Sí,Fiber optic,Sí,No,No,Sí,No,No,Bienal,Yes,Tarjeta de crédito (automático),84.65,5377.8
0015-UOCOJ,No,Femenino,1,No,No,7,Sí,No,DSL,Sí,No,No,No,No,No,Mensual,Yes,Cheque electrónico,48.2,340.35
0016-QLJIS,No,Femenino,0,Sí,Sí,65,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Cheque enviado por correo,90.45,5957.9
0017-DINOC,No,Masculino,0,No,No,54,No,Sin servicio de teléfono,DSL,Sí,No,No,Sí,Sí,No,Bienal,No,Tarjeta de crédito (automático),45.2,2460.55
0017-IUDMW,No,Femenino,0,Sí,Sí,72,Sí,Sí,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Tarjeta de crédito (automático),116.8,8456.75
0018-NYROU,No,Femenino,0,Sí,No,5,Sí,No,Fiber optic,No,No,No,No,No,No,Mensual,Yes,Cheque electrónico,68.95,351.5
0019-EFAEP,No,Femenino,0,No,No,72,Sí,Sí,Fiber optic,Sí,Sí,Sí,No,Sí,No,Bienal,Yes,Transferencia bancaria (automática),101.3,7261.25
0019-GFNTW,No,Femenino,0,No,No,56,No,Sin servicio de teléfono,DSL,Sí,Sí,Sí,Sí,No,No,Bienal,No,Transferencia bancaria (automática),45.05,2560.1
0020-INWCK,No,Femenino,0,Sí,Sí,71,Sí,Sí,Fiber optic,No,Sí,Sí,No,No,Sí,Bienal,Yes,Tarjeta de crédito (automático),95.75,6849.4
0020-JDNXP,No,Femenino,0,Sí,Sí,34,No,Sin servicio de teléfono,DSL,Sí,No,Sí,Sí,Sí,Sí,Anual,No,Cheque enviado por correo,61.25,1993.2
0021-IKXGC,No,Femenino,1,No,No,1,Sí,Sí,Fiber optic,No,No,No,No,No,No,Mensual,Yes,Cheque electrónico,72.1,72.1
0022-TCJCI,Sí,Masculino,1,No,No,45,Sí,No,DSL,Sí,No,Sí,No,No,Sí,Anual,No,Tarjeta de crédito (automático),62.7,2791.5
0023-HGHWL,Sí,Masculino,1,No,No,1,No,Sin servicio de teléfono,DSL,No,No,No,No,No,No,Mensual,Yes,Cheque electrónico,25.1,25.1
0023-UYUPN,No,Femenino,1,Sí,No,50,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Cheque electrónico,25.2,1306.3
